lane,scenario_id,success,recorded_feasible_success,outcome,time_s,final_distance_m,final_speed_mps,path_m,straight_distance_m,energy_proxy_j,handovers,outage_s,dropped_bits,delay_proxy_mean_s,interference_mean_w,sinr_mean_db,sinr_p05_db,rss_mean_dbm,raw_return
0,42012_0000,True,True,success,78.0,9.963141441345215,1.1230933666229248,953.0643920898438,941.8820190429688,13660.009765625,7,0.0,0.0,3.309775332179971,1.062616478410023e-06,-10.456244468688965,-20.211984634399414,-40.269229888916016,26.0879699960351
1,42012_0001,True,True,success,37.0,6.787203311920166,1.0596227645874023,368.6574401855469,360.7795715332031,5309.57080078125,4,0.0,0.0,0.2542895618322733,5.499388019084231e-07,-5.7240800857543945,-14.475394248962402,-38.67567443847656,22.010928720235825
2,42012_0002,True,True,success,76.0,2.679924964904785,0.6114687919616699,881.3312377929688,874.3212890625,12619.9111328125,8,0.0,0.0,5.087984218115085,8.011954092449071e-07,-9.277544975280762,-18.941688537597656,-40.30263137817383,25.433405000716448
3,42012_0003,True,True,success,47.0,4.170654773712158,0.6620361804962158,430.6413879394531,412.68682861328125,6568.6044921875,3,0.0,0.0,0.1800210973683824,8.857795270411403e-07,-6.252904891967773,-11.711465835571289,-36.87234115600586,22.259947761893272
4,42012_0004,True,False,success,32.0,9.020267486572266,1.6135938167572021,315.9522705078125,304.38885498046875,4553.29296875,6,0.0,52038.986328125,17.346850911155343,1.0578753339984814e-06,-12.464340209960938,-22.69776153564453,-42.25,20.184887371957302
5,42012_0005,True,True,success,43.0,5.780895709991455,0.4075823724269867,403.09075927734375,395.4053039550781,5954.04833984375,3,0.0,0.0,2.556645041461601,9.144189625446817e-07,-9.08288288116455,-21.902345657348633,-39.53488540649414,21.79291117656976
6,42012_0006,True,True,success,67.0,2.411344289779663,1.153868556022644,768.6504516601562,764.3229370117188,10964.41015625,4,0.0,0.0,1.1058022580040034,9.161044952417064e-07,-6.42747688293457,-17.82557487487793,-37.029850006103516,25.30533503368497
7,42012_0007,True,True,success,69.0,2.2717738151550293,0.4833333492279053,845.1893920898438,841.6392211914062,11817.0810546875,5,0.0,0.0,3.13663522305264,9.518422793785314e-07,-7.74265193939209,-19.08628273010254,-38.0579719543457,26.130583949387074
8,42012_0008,True,True,success,40.0,2.676408052444458,1.30681574344635,318.04254150390625,313.91925048828125,5118.841796875,3,0.0,0.0,0.5631792031228542,4.2556869175314203e-07,-6.167539596557617,-15.239584922790527,-40.125,21.081082976423204
9,42012_0009,True,True,success,47.0,7.682540416717529,1.3411298990249634,459.50048828125,451.2434387207031,6637.75439453125,2,0.0,0.0,1.9298991256571831,9.986809181235854e-07,-5.43270206451416,-17.939109802246094,-35.65957260131836,22.526022808626294
10,42012_0010,True,True,success,51.0,4.3790082931518555,0.8402806520462036,513.2508544921875,507.7125549316406,7451.107421875,8,0.0,0.0,1.205055608140195,1.1869788469245095e-06,-8.006256103515625,-17.837493896484375,-37.3725471496582,22.64954743999988
